customer_id,segment,acquisition_channel,acquisition_cost,state_region,signup_date,satisfaction_score
1,Corporate,Email,9.61,Suburban,2025-05-26,8.0
2,Retail,Paid Social,86.89,Rural,2024-10-07,6.2
3,Corporate,Referral,29.37,Metro,2024-12-28,10.0
4,Retail,Email,10.19,Metro,2024-07-19,5.5
5,Retail,Organic,9.25,Rural,2025-05-11,6.7
6,Retail,Referral,45.33,Suburban,2024-02-20,5.6
7,Retail,Email,30.29,Suburban,2024-05-10,7.4
8,Retail,Email,13.9,Rural,2025-06-06,9.9
9,Retail,Organic,5.15,Rural,2024-09-07,7.5
10,Retail,Paid Social,63.8,Suburban,2024-04-01,6.2
11,Retail,Paid Social,59.02,Remote,2024-08-19,6.8
12,Retail,Referral,36.0,Suburban,2024-05-03,7.7
13,Wholesale,Email,23.92,Suburban,2024-10-06,7.6
14,Retail,Email,4.46,Metro,2024-05-01,7.7
15,Retail,Paid Social,70.26,Metro,2024-08-02,5.1
16,Retail,Organic,7.28,Metro,2025-05-26,7.5
17,Retail,Paid Social,62.67,Rural,2024-02-01,7.0
18,Retail,Organic,9.0,Suburban,2025-02-18,8.7
19,Retail,Email,27.59,Metro,2024-02-10,8.8
20,Corporate,Paid Social,79.6,Suburban,2024-09-04,6.5
21,Retail,Email,12.0,Metro,2025-01-09,7.6
22,Retail,Paid Social,60.94,Metro,2025-06-03,7.0
23,Retail,Referral,19.51,Remote,2024-05-09,7.1
24,Wholesale,Referral,7.18,Metro,2024-01-23,7.0
25,Corporate,Email,17.13,Metro,2025-02-18,7.1
26,Wholesale,Organic,15.38,Suburban,2025-05-23,6.1
27,Retail,Paid Social,31.18,Metro,2024-11-20,6.6
28,Retail,Organic,7.9,Rural,2024-02-26,8.9
29,Retail,Organic,7.78,Remote,2024-10-04,6.7
30,Wholesale,Email,20.3,Suburban,2024-08-05,7.7
31,Retail,Email,10.3,Suburban,2024-09-12,6.4
32,Retail,Referral,9.75,Metro,2024-01-15,6.6
33,Retail,Paid Social,37.19,Suburban,2024-06-22,8.6
34,Retail,Paid Social,85.96,Metro,2025-06-04,4.9
35,Retail,Paid Social,44.31,Metro,2024-01-04,4.6
36,Retail,Organic,6.0,Rural,2025-05-23,7.9
37,Retail,Organic,16.42,Suburban,2024-10-16,7.9
38,Corporate,Paid Social,48.78,Suburban,2024-11-12,6.9
39,Retail,Organic,9.37,Metro,2025-05-07,10.0
40,Corporate,Email,26.51,Rural,2024-04-20,6.3
41,Retail,Paid Social,80.28,Metro,2025-06-23,5.4
42,Corporate,Email,7.35,Metro,2024-05-01,9.1
43,Retail,Email,12.29,Rural,2024-07-02,8.3
44,Wholesale,Paid Social,67.44,Suburban,2024-09-22,7.1
45,Retail,Email,33.43,Remote,2024-11-25,6.5
46,Retail,Email,11.91,Metro,2024-06-07,8.6
47,Retail,Paid Social,53.11,Suburban,2025-03-20,7.1
48,Retail,Organic,9.68,Remote,2024-01-24,7.8
49,Retail,Email,22.96,Suburban,2024-12-04,6.5
50,Corporate,Organic,10.72,Suburban,2024-12-06,7.7
51,Wholesale,Organic,4.61,Metro,2024-10-04,9.6
52,Retail,Organic,5.87,Rural,2024-12-23,6.3
53,Retail,Email,19.72,Remote,2025-02-22,6.2
54,Retail,Email,28.1,Suburban,2025-05-04,6.4
55,Corporate,Email,16.09,Remote,2024-04-05,6.7
56,Corporate,Email,17.82,Suburban,2024-09-19,7.2
57,Retail,Paid Social,43.53,Suburban,2024-11-26,7.3
58,Wholesale,Paid Social,95.54,Metro,2024-07-22,6.7
59,Retail,Organic,8.62,Suburban,2025-06-05,7.7
60,Corporate,Organic,12.31,Rural,2024-10-11,7.9
61,Wholesale,Email,18.24,Suburban,2024-11-02,7.9
62,Corporate,Paid Social,63.53,Metro,2024-04-07,4.1
63,Retail,Paid Social,34.99,Suburban,2024-08-16,7.4
64,Retail,Email,0.79,Rural,2024-12-10,6.2
65,Retail,Paid Social,84.53,Remote,2024-08-17,5.6
66,Corporate,Paid Social,63.41,Metro,2025-02-09,6.5
67,Retail,Paid Social,65.72,Metro,2024-03-16,6.0
68,Corporate,Paid Social,39.52,Metro,2024-03-18,6.7
69,Wholesale,Organic,4.39,Metro,2024-07-06,7.8
70,Retail,Paid Social,81.12,Remote,2024-06-02,5.8
