order_id,shipping_carrier,actual_shipping_cost,delivery_days,return_handling_cost,support_tickets
1,Standard,12.18,1,0.0,1
2,UPS,8.58,1,0.0,0
3,Standard,10.08,3,0.0,0
4,Standard,46.51,1,0.0,1
5,UPS,23.36,4,0.0,0
6,Standard,42.63,2,13.45,0
7,UPS,21.8,5,0.0,0
8,FedEx,11.44,3,0.0,0
9,Standard,74.28,8,13.68,2
10,Standard,7.72,3,0.0,1
11,DHL,37.73,4,0.0,0
12,Standard,84.69,2,8.52,0
13,Standard,13.61,2,0.0,1
14,Standard,15.01,6,0.0,1
15,Standard,6.18,2,0.0,0
16,Standard,11.13,4,0.0,0
17,Standard,12.51,1,8.05,1
18,FedEx,15.67,6,0.0,0
19,Standard,10.94,3,0.0,0
20,UPS,9.63,2,8.03,1
21,DHL,54.67,3,0.0,0
22,DHL,13.69,2,9.22,1
23,FedEx,7.86,3,6.45,1
24,UPS,8.1,3,0.0,1
25,Standard,25.79,4,11.9,0
26,FedEx,19.23,4,0.0,0
27,UPS,9.47,2,0.0,1
28,UPS,11.34,2,9.58,0
29,FedEx,24.13,2,0.0,1
30,Standard,14.98,5,0.0,0
31,Standard,30.88,2,0.0,0
32,UPS,10.85,1,0.0,0
33,UPS,16.18,5,8.64,1
34,UPS,10.44,1,0.0,0
35,FedEx,11.78,5,0.0,0
36,Standard,5.66,1,0.0,0
37,Standard,18.94,4,0.0,1
38,DHL,25.41,4,0.0,0
39,UPS,23.28,3,0.0,0
40,FedEx,31.25,4,0.0,0
41,Standard,13.46,4,9.24,1
42,Standard,10.94,3,0.0,0
43,Standard,22.91,3,0.0,0
44,Standard,19.08,4,0.0,1
45,Standard,17.54,6,0.0,1
46,DHL,12.84,3,0.0,0
47,Standard,15.7,4,0.0,0
48,Standard,22.42,2,0.0,0
49,Standard,13.46,3,0.0,0
50,Standard,6.29,3,11.22,1
51,DHL,10.18,3,0.0,0
52,UPS,17.55,2,0.0,0
53,Standard,7.73,2,0.0,1
54,Standard,7.46,3,11.78,0
55,FedEx,7.7,2,0.0,1
56,FedEx,20.53,4,7.12,1
57,DHL,12.0,2,0.0,0
58,FedEx,9.09,3,0.0,0
59,Standard,39.23,1,14.9,0
60,UPS,19.94,1,0.0,2
61,Standard,18.12,3,7.66,0
62,FedEx,13.65,4,10.09,0
63,DHL,12.5,3,10.26,0
64,UPS,10.91,3,0.0,0
65,DHL,10.97,4,7.02,1
66,Standard,60.09,7,0.0,1
67,Standard,23.66,3,0.0,0
68,Standard,6.87,1,0.0,0
69,DHL,85.27,4,9.72,1
70,Standard,13.32,2,8.36,1
71,Standard,15.01,1,11.06,1
72,FedEx,42.99,4,12.51,1
73,UPS,24.74,1,0.0,0
74,UPS,9.5,3,12.79,0
75,UPS,18.22,2,0.0,0
76,Standard,59.99,1,11.43,0
77,Standard,17.11,3,13.01,1
78,FedEx,23.0,4,0.0,0
79,FedEx,10.44,3,0.0,0
80,Standard,19.71,3,0.0,0
81,UPS,7.44,3,0.0,0
