order_id,customer_id,order_date,acquisition_channel,promo_code,discount_pct,discount_band,shipping_fee_charged
1,1051,2024-01-27,Email,SAVE15,0.1903,Mid,7.99
2,1976,2024-01-04,Organic,FLASH30,0.2989,High,0.0
3,2207,2024-01-18,Email,SAVE15,0.1088,Mid,8.99
4,321,2024-01-25,Referral,FLASH30,0.2833,High,0.0
5,3339,2024-01-05,Organic,,0.0,No Discount,0.0
6,3711,2024-01-23,Referral,,0.0,No Discount,8.99
7,1683,2024-01-07,Email,,0.0,No Discount,10.99
8,3443,2024-01-02,Organic,WELCOME10,0.0912,Low,0.0
9,2725,2024-01-23,Organic,SAVE15,0.1349,Mid,10.99
10,2417,2024-01-03,Organic,FLASH30,0.277,High,0.0
11,3285,2024-01-04,Organic,WELCOME10,0.0545,Low,9.99
12,2107,2024-01-14,Email,WELCOME10,0.0588,Low,7.99
13,2320,2024-01-22,Referral,WELCOME10,0.0969,Low,7.99
14,1056,2024-01-13,Email,,0.0,No Discount,10.99
15,2801,2024-01-23,Referral,,0.0,No Discount,0.0
16,596,2024-01-23,Organic,,0.0,No Discount,0.0
17,876,2024-01-04,Referral,,0.0,No Discount,7.99
18,2131,2024-01-14,Organic,WELCOME10,0.0606,Low,9.99
19,1596,2024-01-05,Email,,0.0,No Discount,0.0
20,852,2024-01-15,Organic,WELCOME10,0.0747,Low,7.99
21,725,2024-01-26,Organic,SAVE15,0.1862,Mid,8.99
22,3458,2024-01-24,Referral,WELCOME10,0.0567,Low,7.99
23,2417,2024-01-04,Organic,WELCOME10,0.0696,Low,8.99
24,1595,2024-01-13,Email,,0.0,No Discount,8.99
25,3401,2024-01-27,Organic,FLASH30,0.2872,High,0.0
26,3305,2024-01-12,Email,SAVE15,0.1614,Mid,9.99
27,415,2024-01-07,Organic,FLASH30,0.3569,High,0.0
28,2365,2024-01-23,Email,FLASH30,0.2985,High,0.0
29,1209,2024-01-10,Organic,SAVE15,0.1762,Mid,7.99
30,2292,2024-01-26,Email,SAVE15,0.1512,Mid,9.99
31,2811,2024-01-02,Organic,WELCOME10,0.0662,Low,7.99
32,32,2024-01-12,Referral,WELCOME10,0.0677,Low,0.0
33,2202,2024-01-12,Referral,WELCOME10,0.0685,Low,0.0
34,1133,2024-01-08,Organic,,0.0,No Discount,7.99
35,2273,2024-01-10,Email,,0.0,No Discount,8.99
36,415,2024-01-07,Organic,SAVE15,0.1959,Mid,0.0
37,3285,2024-01-04,Organic,,0.0,No Discount,9.99
38,2292,2024-01-09,Email,,0.0,No Discount,0.0
39,793,2024-01-13,Paid Social,SAVE15,0.164,Mid,7.99
40,3045,2024-01-17,Email,,0.0,No Discount,8.99
41,149,2024-01-10,Paid Social,,0.0,No Discount,9.99
42,2417,2024-01-16,Organic,,0.0,No Discount,0.0
43,2150,2024-01-21,Organic,SAVE15,0.1148,Mid,8.99
44,167,2024-01-20,Email,FLASH30,0.2684,High,0.0
45,948,2024-01-25,Referral,,0.0,No Discount,9.99
46,302,2024-01-21,Organic,,0.0,No Discount,7.99
47,2893,2024-01-11,Paid Social,WELCOME10,0.0896,Low,9.99
48,2793,2024-01-28,Email,WELCOME10,0.0578,Low,8.99
49,322,2024-01-06,Paid Social,WELCOME10,0.0573,Low,0.0
50,413,2024-01-27,Organic,WELCOME10,0.0698,Low,0.0
51,3594,2024-01-01,Organic,,0.0,No Discount,0.0
52,765,2024-01-05,Referral,,0.0,No Discount,7.99
53,1209,2024-01-12,Organic,,0.0,No Discount,7.99
54,2737,2024-01-01,Organic,SAVE15,0.1678,Mid,7.99
55,261,2024-01-28,Organic,,0.0,No Discount,0.0
56,3810,2024-01-08,Email,,0.0,No Discount,9.99
57,123,2024-01-05,Organic,SAVE15,0.1985,Mid,8.99
58,3411,2024-01-16,Email,WELCOME10,0.0938,Low,7.99
59,1556,2024-01-23,Email,WELCOME10,0.0958,Low,7.99
60,539,2024-01-04,Organic,WELCOME10,0.0927,Low,7.99
61,1595,2024-01-22,Email,,0.0,No Discount,0.0
62,3889,2024-01-20,Referral,,0.0,No Discount,9.99
63,2226,2024-01-06,Organic,,0.0,No Discount,0.0
64,220,2024-01-28,Paid Social,FLASH30,0.315,High,0.0
65,3771,2024-01-10,Referral,,0.0,No Discount,0.0
66,538,2024-01-16,Organic,FLASH30,0.3238,High,0.0
67,219,2024-01-28,Referral,,0.0,No Discount,7.99
68,215,2024-01-07,Email,,0.0,No Discount,0.0
69,3305,2024-01-07,Email,,0.0,No Discount,9.99
70,562,2024-01-21,Organic,WELCOME10,0.066,Low,7.99
71,645,2024-01-13,Paid Social,FLASH30,0.2675,High,0.0
72,3810,2024-01-25,Email,,0.0,No Discount,0.0
73,2504,2024-01-17,Email,WELCOME10,0.0885,Low,0.0
74,1085,2024-01-20,Referral,WELCOME10,0.0506,Low,0.0
75,2404,2024-01-28,Referral,,0.0,No Discount,8.99
76,876,2024-01-18,Referral,WELCOME10,0.0864,Low,7.99
77,2133,2024-01-15,Referral,,0.0,No Discount,8.99
78,1375,2024-01-05,Referral,,0.0,No Discount,8.99
79,2507,2024-01-08,Referral,,0.0,No Discount,8.99
80,2979,2024-01-10,Email,,0.0,No Discount,8.99
81,1469,2024-01-25,Email,,0.0,No Discount,8.99
82,538,2024-01-08,Organic,,0.0,No Discount,0.0
83,1552,2024-01-07,Paid Social,WELCOME10,0.0876,Low,7.99
84,2979,2024-01-24,Email,FLASH30,0.378,High,0.0
85,3182,2024-01-19,Organic,,0.0,No Discount,7.99
86,3155,2024-01-20,Organic,,0.0,No Discount,7.99
87,3889,2024-01-17,Referral,,0.0,No Discount,9.99
88,3305,2024-01-26,Email,WELCOME10,0.0576,Low,9.99
89,3865,2024-01-11,Referral,WELCOME10,0.075,Low,0.0
90,2518,2024-01-16,Organic,,0.0,No Discount,8.99
91,848,2024-01-16,Email,SAVE15,0.1841,Mid,8.99
92,2495,2024-01-25,Referral,,0.0,No Discount,10.99
93,763,2024-01-25,Organic,,0.0,No Discount,7.99
94,321,2024-01-22,Referral,SAVE15,0.1987,Mid,7.99
95,1209,2024-01-06,Organic,SAVE15,0.1466,Mid,7.99
96,1556,2024-01-14,Email,WELCOME10,0.0968,Low,7.99
97,2801,2024-01-21,Referral,FLASH30,0.3447,High,0.0
98,1556,2024-01-10,Email,,0.0,No Discount,0.0
99,24,2024-01-12,Referral,,0.0,No Discount,0.0
100,3660,2024-01-20,Organic,WELCOME10,0.0515,Low,10.99
101,2404,2024-01-05,Referral,,0.0,No Discount,8.99
102,793,2024-01-23,Paid Social,FLASH30,0.2903,High,0.0
103,948,2024-01-14,Referral,SAVE15,0.1878,Mid,9.99
104,454,2024-01-23,Organic,WELCOME10,0.0519,Low,10.99
105,3643,2024-01-17,Email,WELCOME10,0.0566,Low,7.99
106,848,2024-01-15,Email,WELCOME10,0.0798,Low,8.99
107,3771,2024-01-27,Referral,WELCOME10,0.0698,Low,7.99
108,1022,2024-01-11,Email,SAVE15,0.1293,Mid,10.99
109,3238,2024-01-28,Organic,SAVE15,0.1011,Mid,9.99
110,32,2024-01-19,Referral,,0.0,No Discount,7.99
111,2132,2024-01-25,Email,SAVE15,0.1661,Mid,7.99
112,1579,2024-01-05,Referral,FLASH30,0.3058,High,0.0
113,1375,2024-01-09,Referral,SAVE15,0.1845,Mid,8.99
114,3984,2024-01-20,Organic,,0.0,No Discount,7.99
115,2853,2024-01-04,Email,FLASH30,0.266,High,0.0
116,982,2024-01-02,Email,WELCOME10,0.0975,Low,8.99
117,2979,2024-01-13,Email,,0.0,No Discount,8.99
118,508,2024-01-17,Email,,0.0,No Discount,7.99
119,3685,2024-01-18,Organic,,0.0,No Discount,9.99
120,1801,2024-01-13,Paid Social,FLASH30,0.2975,High,0.0
121,725,2024-01-21,Organic,WELCOME10,0.0675,Low,8.99
